source,destination,anchor,relationship
/games/love-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/love-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/max-rummy.html,Max Rummy,directory -> game
/games/rummy.html,/games/max-rummy.html,Max Rummy,category -> game (same topic)
/games/max-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/max-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/max-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/max-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/max-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/money-rummy.html,Money Rummy,directory -> game
/games/rummy.html,/games/money-rummy.html,Money Rummy,category -> game (same topic)
/games/money-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/money-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/money-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/money-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/money-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/ok-rummy.html,OK Rummy,directory -> game
/games/rummy.html,/games/ok-rummy.html,OK Rummy,category -> game (same topic)
/games/ok-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/ok-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/ok-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/ok-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/ok-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rumble-rummy.html,Rumble Rummy,directory -> game
/games/rummy.html,/games/rumble-rummy.html,Rumble Rummy,category -> game (same topic)
/games/rumble-rummy.html,/games/rummy.html,All Rummy,game -> parent category
/games/rumble-rummy.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/rumble-rummy.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rumble-rummy.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rumble-rummy.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rummy-365.html,Rummy 365,directory -> game
/games/rummy.html,/games/rummy-365.html,Rummy 365,category -> game (same topic)
/games/rummy-365.html,/games/rummy.html,All Rummy,game -> parent category
/games/rummy-365.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/rummy-365.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rummy-365.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rummy-365.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rummy-77.html,Rummy 77,directory -> game
/games/rummy.html,/games/rummy-77.html,Rummy 77,category -> game (same topic)
/games/rummy-77.html,/games/rummy.html,All Rummy,game -> parent category
/games/rummy-77.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/rummy-77.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rummy-77.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rummy-77.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rummy-888.html,Rummy 888,directory -> game
/games/rummy.html,/games/rummy-888.html,Rummy 888,category -> game (same topic)
/games/rummy-888.html,/games/rummy.html,All Rummy,game -> parent category
/games/rummy-888.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/rummy-888.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rummy-888.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rummy-888.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rummy-91.html,Rummy 91,directory -> game
/games/rummy.html,/games/rummy-91.html,Rummy 91,category -> game (same topic)
/games/rummy-91.html,/games/rummy.html,All Rummy,game -> parent category
/games/rummy-91.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
/games/rummy-91.html,/games/boss-rummy.html,Boss Rummy,game -> sibling (same category)
/games/rummy-91.html,/games/game-rummy.html,Game Rummy,game -> sibling (same category)
/games/rummy-91.html,/games/gogo-rummy.html,GoGo Rummy,game -> sibling (same category)
/games/,/games/rummy-yono.html,Rummy Yono,directory -> game
/games/rummy.html,/games/rummy-yono.html,Rummy Yono,category -> game (same topic)
/games/rummy-yono.html,/games/rummy.html,All Rummy,game -> parent category
/games/rummy-yono.html,/games/abc-rummy.html,ABC Rummy,game -> sibling (same category)
